price,start,end,parent,length,H00,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23
3000,19,24,-1,1,27
3000,17,22,0,2,18,18
3000,19,24,0,2,1,6
